date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:55	105245/105245	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2016:39:55%20GMT	https://www.amazon.fr/ap/node_modules/css-loader/dist/runtime/api.js	C:/Users/johshh/Desktop/Work/Dev/amazon/www.amazon.fr/ap/node_modules/css-loader/dist/runtime/api.13.delayed	(from https://images-eu.ssl-images-amazon.com/images/I/7195RJQQs1L.js?AUIClients/ACICAssets)
17:39:55	99581/99581	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2016:39:56%20GMT	https://www.amazon.fr/ap/node_modules/build-url-ts/dist/build-url.js	C:/Users/johshh/Desktop/Work/Dev/amazon/www.amazon.fr/ap/node_modules/build-url-ts/dist/build-url.14.delayed	(from https://images-eu.ssl-images-amazon.com/images/I/7195RJQQs1L.js?AUIClients/ACICAssets)
17:39:56	105257/105257	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2016:39:57%20GMT	https://www.amazon.fr/ap/src/css/iframe.css	C:/Users/johshh/Desktop/Work/Dev/amazon/www.amazon.fr/ap/src/css/iframe.css	(from https://images-eu.ssl-images-amazon.com/images/I/7195RJQQs1L.js?AUIClients/ACICAssets)
17:39:56	105279/105279	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2016:39:57%20GMT	https://www.amazon.fr/ap/node_modules/style-loader/dist/runtime/injectStylesIntoStyleTag.js	C:/Users/johshh/Desktop/Work/Dev/amazon/www.amazon.fr/ap/node_modules/style-loader/dist/runtime/injectStylesIntoStyleTag.16.delayed	(from https://images-eu.ssl-images-amazon.com/images/I/7195RJQQs1L.js?AUIClients/ACICAssets)
17:39:57	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2029%20Nov%202022%2016:39:57%20GMT	https://www.amazon.fr/ap/node_modules/css-loader/dist/cjs.js!./src/css/iframe.css	C:/Users/johshh/Desktop/Work/Dev/amazon/www.amazon.fr/ap/node_modules/css-loader/dist/cjs.js!/src/css/iframe.17.delayed	(from https://images-eu.ssl-images-amazon.com/images/I/7195RJQQs1L.js?AUIClients/ACICAssets)
17:39:57	54840/54840	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2014%20Nov%202018%2012:45:35%20GMT	https://m.media-amazon.com/images/G/01/csm/cxguardrails_config_prod._TTH_.js	C:/Users/johshh/Desktop/Work/Dev/amazon/m.media-amazon.com/images/G/01/csm/cxguardrails_config_prod._TTH_.js	(from https://www.amazon.fr/ap/forgotpassword?showRememberMe=true&openid.pape.max_auth_age=0&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&pageId=frflex&mobileBrowserWeblabTreatment=C&openid.return_to=https%3A%2F%2Fwww.amazon.fr%2F%3Fref_%3Dnav_custrec_signin&prevRID=3YHH4W2JJQHZF2JBB2EY&openid.assoc_handle=frflex&openid.mode=checkid_setup&desktopBrowserWeblabTreatment=C&prepopulatedLoginId=&failedSignInCount=0&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0)
17:39:58	152517/152517	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Nov%202022%2016:39:58%20GMT	https://www.amazon.fr/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.fr%2F%3Fref_%3Dnav_custrec_signin&prevRID=SR147EZ82MBEQ5W864JF&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=frflex&openid.mode=checkid_setup&failedSignInCount=0&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&pageId=frflex&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0	C:/Users/johshh/Desktop/Work/Dev/amazon/www.amazon.fr/ap/signin3bde.html	(from https://www.amazon.fr/ap/register?showRememberMe=true&openid.pape.max_auth_age=0&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&pageId=frflex&mobileBrowserWeblabTreatment=C&openid.return_to=https%3A%2F%2Fwww.amazon.fr%2F%3Fref_%3Dnav_custrec_signin&prevRID=3YHH4W2JJQHZF2JBB2EY&openid.assoc_handle=frflex&openid.mode=checkid_setup&desktopBrowserWeblabTreatment=C&prepopulatedLoginId=&failedSignInCount=0&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0)
17:39:59	143591/143591	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Nov%202022%2016:39:59%20GMT	https://www.amazon.fr/ap/forgotpassword?showRememberMe=true&openid.pape.max_auth_age=0&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&pageId=frflex&mobileBrowserWeblabTreatment=C&openid.return_to=https%3A%2F%2Fwww.amazon.fr%2F%3Fref_%3Dnav_custrec_signin&prevRID=ZX3DXK0ARF0JEA2HRNCG&openid.assoc_handle=frflex&openid.mode=checkid_setup&desktopBrowserWeblabTreatment=C&prepopulatedLoginId=&failedSignInCount=0&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0	C:/Users/johshh/Desktop/Work/Dev/amazon/www.amazon.fr/ap/forgotpassword3ec9.html	(from https://www.amazon.fr/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.fr%2F%3Fref_%3Dnav_custrec_signin&prevRID=SR147EZ82MBEQ5W864JF&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=frflex&openid.mode=checkid_setup&failedSignInCount=0&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&pageId=frflex&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0)
17:40:00	170786/170786	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Nov%202022%2016:40:00%20GMT	https://www.amazon.fr/ap/register?showRememberMe=true&openid.pape.max_auth_age=0&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&pageId=frflex&mobileBrowserWeblabTreatment=C&openid.return_to=https%3A%2F%2Fwww.amazon.fr%2F%3Fref_%3Dnav_custrec_signin&prevRID=ZX3DXK0ARF0JEA2HRNCG&openid.assoc_handle=frflex&openid.mode=checkid_setup&desktopBrowserWeblabTreatment=C&prepopulatedLoginId=&failedSignInCount=0&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0	C:/Users/johshh/Desktop/Work/Dev/amazon/www.amazon.fr/ap/register3ec9.html	(from https://www.amazon.fr/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.fr%2F%3Fref_%3Dnav_custrec_signin&prevRID=SR147EZ82MBEQ5W864JF&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=frflex&openid.mode=checkid_setup&failedSignInCount=0&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&pageId=frflex&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0)
17:40:00	135465/135465	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Nov%202022%2016:40:01%20GMT	https://www.amazon.fr/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.fr%2F%3Fref_%3Dnav_custrec_signin&prevRID=FBRC33PJ0SNEFDCWPPET&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=frflex&openid.mode=checkid_setup&failedSignInCount=0&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&pageId=frflex&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0	C:/Users/johshh/Desktop/Work/Dev/amazon/www.amazon.fr/ap/signin4b96.html	(from https://www.amazon.fr/ap/register?showRememberMe=true&openid.pape.max_auth_age=0&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&pageId=frflex&mobileBrowserWeblabTreatment=C&openid.return_to=https%3A%2F%2Fwww.amazon.fr%2F%3Fref_%3Dnav_custrec_signin&prevRID=ZX3DXK0ARF0JEA2HRNCG&openid.assoc_handle=frflex&openid.mode=checkid_setup&desktopBrowserWeblabTreatment=C&prepopulatedLoginId=&failedSignInCount=0&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0)
